Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Donor,Experiment,GEO_Accession (exp),infection,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study
SRR7768823,RNA-Seq,74,2255908722,PRJNA488556,SAMN09936766,947795282,Naive B Cell,GEO,public,"fastq,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",HD4,SRX4624403,GSM3361994,Uninfected,NextSeq 550,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-09T00:00:00Z,GSM3361994,Lymph node,SRP159143
SRR7768824,RNA-Seq,74,2362311768,PRJNA488556,SAMN09936765,992606749,Memory B Cell,GEO,public,"fastq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",HD4,SRX4624404,GSM3361995,Uninfected,NextSeq 550,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-09T00:00:00Z,GSM3361995,Lymph node,SRP159143
SRR7768825,RNA-Seq,74,2357162478,PRJNA488556,SAMN09936764,984277295,Germinal Center B Cell,GEO,public,"sra,fastq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",HD5,SRX4624405,GSM3361996,Uninfected,NextSeq 550,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-09T00:00:00Z,GSM3361996,Lymph node,SRP159143
SRR7768826,RNA-Seq,74,2447586778,PRJNA488556,SAMN09936763,1032557650,Unswitched Memory B Cell,GEO,public,"fastq,sra","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",HD5,SRX4624406,GSM3361997,Uninfected,NextSeq 550,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-09T00:00:00Z,GSM3361997,Lymph node,SRP159143
SRR7768827,RNA-Seq,74,2247644846,PRJNA488556,SAMN09936762,956767245,Naive B Cell,GEO,public,"sra,fastq","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",HD5,SRX4624407,GSM3361998,Uninfected,NextSeq 550,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-09T00:00:00Z,GSM3361998,Lymph node,SRP159143
SRR7768828,RNA-Seq,74,2228692114,PRJNA488556,SAMN09936761,938485137,Memory B Cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",HD5,SRX4624408,GSM3361999,Uninfected,NextSeq 550,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-09T00:00:00Z,GSM3361999,Lymph node,SRP159143
SRR7768829,RNA-Seq,74,2255954232,PRJNA488556,SAMN09936760,945112862,Germinal Center B Cell,GEO,public,"sra,fastq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",HIV1,SRX4624409,GSM3362000,HIV-infected,NextSeq 550,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-09T00:00:00Z,GSM3362000,Lymph node,SRP159143
SRR7768830,RNA-Seq,74,2430543246,PRJNA488556,SAMN09936810,1018680964,IgG switched Germinal Center B Cell,GEO,public,"sra,fastq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",HIV1,SRX4624410,GSM3362001,HIV-infected,NextSeq 550,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-09T00:00:00Z,GSM3362001,Lymph node,SRP159143
SRR7768831,RNA-Seq,74,2283185714,PRJNA488556,SAMN09936809,982093836,HIV-specific IgG switched Germinal Center B Cell,GEO,public,"sra,fastq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",HIV1,SRX4624411,GSM3362002,HIV-infected,NextSeq 550,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-09T00:00:00Z,GSM3362002,Lymph node,SRP159143
SRR7768832,RNA-Seq,74,2136190856,PRJNA488556,SAMN09936808,894396754,Unswitched Memory B Cell,GEO,public,"sra,fastq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",HIV1,SRX4624412,GSM3362003,HIV-infected,NextSeq 550,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-09T00:00:00Z,GSM3362003,Lymph node,SRP159143
SRR7768833,RNA-Seq,74,2239282994,PRJNA488556,SAMN09936807,944278949,Naive B Cell,GEO,public,"sra,fastq","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",HIV1,SRX4624413,GSM3362004,HIV-infected,NextSeq 550,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-09T00:00:00Z,GSM3362004,Lymph node,SRP159143
SRR7768834,RNA-Seq,74,2546179494,PRJNA488556,SAMN09936806,1051451601,Memory B Cell,GEO,public,"fastq,sra","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",HIV1,SRX4624414,GSM3362005,HIV-infected,NextSeq 550,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-09T00:00:00Z,GSM3362005,Lymph node,SRP159143
SRR7768835,RNA-Seq,74,1879158294,PRJNA488556,SAMN09936805,774492274,IgG switched Memory B Cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",HIV1,SRX4624415,GSM3362006,HIV-infected,NextSeq 550,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-09T00:00:00Z,GSM3362006,Lymph node,SRP159143
SRR7768836,RNA-Seq,74,4233868856,PRJNA488556,SAMN09936804,1733320927,HIV-specific IgG switched Memory B Cell,GEO,public,"sra,fastq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",HIV1,SRX4624416,GSM3362007,HIV-infected,NextSeq 550,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-09T00:00:00Z,GSM3362007,Lymph node,SRP159143
SRR7768837,RNA-Seq,74,2535060624,PRJNA488556,SAMN09936803,1076974756,Germinal Center B Cell,GEO,public,"sra,fastq","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",HIV2,SRX4624417,GSM3362008,HIV-infected,NextSeq 550,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-09T00:00:00Z,GSM3362008,Lymph node,SRP159143
SRR7768838,RNA-Seq,74,2496320070,PRJNA488556,SAMN09936802,1058118047,HIV-specific IgG switched Germinal Center B Cell,GEO,public,"fastq,sra","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",HIV2,SRX4624418,GSM3362009,HIV-infected,NextSeq 550,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-09T00:00:00Z,GSM3362009,Lymph node,SRP159143
SRR7768839,RNA-Seq,74,2502476278,PRJNA488556,SAMN09936801,1066421833,Unswitched Memory B Cell,GEO,public,"fastq,sra","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",HIV2,SRX4624419,GSM3362010,HIV-infected,NextSeq 550,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-09T00:00:00Z,GSM3362010,Lymph node,SRP159143
SRR7768840,RNA-Seq,74,2308044978,PRJNA488556,SAMN09936800,980489423,Naive B Cell,GEO,public,"fastq,sra","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",HIV2,SRX4624420,GSM3362011,HIV-infected,NextSeq 550,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-09T00:00:00Z,GSM3362011,Lymph node,SRP159143
SRR7768841,RNA-Seq,74,2326586048,PRJNA488556,SAMN09936799,965675512,Memory B Cell,GEO,public,"sra,fastq","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",HIV2,SRX4624421,GSM3362012,HIV-infected,NextSeq 550,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-09T00:00:00Z,GSM3362012,Lymph node,SRP159143
SRR7768842,RNA-Seq,74,2028573248,PRJNA488556,SAMN09936798,854282332,IgG switched Memory B Cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",HIV2,SRX4624422,GSM3362013,HIV-infected,NextSeq 550,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-09T00:00:00Z,GSM3362013,Lymph node,SRP159143
SRR7768843,RNA-Seq,74,2227559396,PRJNA488556,SAMN09936797,929613608,HIV-specific IgG switched Memory B Cell,GEO,public,"sra,fastq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",HIV2,SRX4624423,GSM3362014,HIV-infected,NextSeq 550,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-09T00:00:00Z,GSM3362014,Lymph node,SRP159143
SRR7768844,RNA-Seq,74,2279440648,PRJNA488556,SAMN09936796,984363937,Germinal Center B Cell,GEO,public,"sra,fastq","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",HIV3,SRX4624424,GSM3362015,HIV-infected,NextSeq 550,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-09T00:00:00Z,GSM3362015,Lymph node,SRP159143
SRR7768845,RNA-Seq,74,2331329892,PRJNA488556,SAMN09936795,980889176,IgG switched Germinal Center B Cell,GEO,public,"sra,fastq","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",HIV3,SRX4624425,GSM3362016,HIV-infected,NextSeq 550,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-09T00:00:00Z,GSM3362016,Lymph node,SRP159143
SRR7768846,RNA-Seq,74,2326747590,PRJNA488556,SAMN09936794,983837536,HIV-specific IgG switched Germinal Center B Cell,GEO,public,"sra,fastq","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",HIV3,SRX4624426,GSM3362017,HIV-infected,NextSeq 550,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-09T00:00:00Z,GSM3362017,Lymph node,SRP159143
SRR7768847,RNA-Seq,74,2278331980,PRJNA488556,SAMN09936793,968272634,Unswitched Memory B Cell,GEO,public,"sra,fastq","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",HIV3,SRX4624427,GSM3362018,HIV-infected,NextSeq 550,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-09T00:00:00Z,GSM3362018,Lymph node,SRP159143
SRR7768848,RNA-Seq,74,2188265988,PRJNA488556,SAMN09936792,932571926,Naive B Cell,GEO,public,"fastq,sra","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",HIV3,SRX4624428,GSM3362019,HIV-infected,NextSeq 550,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-09T00:00:00Z,GSM3362019,Lymph node,SRP159143
SRR7768849,RNA-Seq,74,2354911694,PRJNA488556,SAMN09936791,979712308,Memory B Cell,GEO,public,"sra,fastq","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",HIV3,SRX4624429,GSM3362020,HIV-infected,NextSeq 550,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-09T00:00:00Z,GSM3362020,Lymph node,SRP159143
SRR7768850,RNA-Seq,74,2526394632,PRJNA488556,SAMN09936790,1064271905,IgG switched Memory B Cell,GEO,public,"sra,fastq","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",HIV3,SRX4624430,GSM3362021,HIV-infected,NextSeq 550,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-09T00:00:00Z,GSM3362021,Lymph node,SRP159143
SRR7768851,RNA-Seq,74,2355423478,PRJNA488556,SAMN09936789,977164807,HIV-specific IgG switched Memory B Cell,GEO,public,"sra,fastq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",HIV3,SRX4624431,GSM3362022,HIV-infected,NextSeq 550,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-09T00:00:00Z,GSM3362022,Lymph node,SRP159143
SRR7768852,RNA-Seq,74,2350295426,PRJNA488556,SAMN09936788,1006592325,Germinal Center B Cell,GEO,public,"fastq,sra","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",HIV4,SRX4624432,GSM3362023,HIV-infected,NextSeq 550,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-09T00:00:00Z,GSM3362023,Lymph node,SRP159143
SRR7768853,RNA-Seq,74,2319879132,PRJNA488556,SAMN09936787,964619077,IgG switched Germinal Center B Cell,GEO,public,"fastq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",HIV4,SRX4624433,GSM3362024,HIV-infected,NextSeq 550,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-09T00:00:00Z,GSM3362024,Lymph node,SRP159143
SRR7768854,RNA-Seq,74,2340765854,PRJNA488556,SAMN09936786,1005389515,HIV-specific IgG switched Germinal Center B Cell,GEO,public,"fastq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",HIV4,SRX4624434,GSM3362025,HIV-infected,NextSeq 550,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-09T00:00:00Z,GSM3362025,Lymph node,SRP159143
SRR7768855,RNA-Seq,74,2381133520,PRJNA488556,SAMN09936785,1017357606,Unswitched Memory B Cell,GEO,public,"fastq,sra","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",HIV4,SRX4624435,GSM3362026,HIV-infected,NextSeq 550,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-09T00:00:00Z,GSM3362026,Lymph node,SRP159143
SRR7768856,RNA-Seq,74,2232297542,PRJNA488556,SAMN09936784,943373293,Naive B Cell,GEO,public,"fastq,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",HIV4,SRX4624436,GSM3362027,HIV-infected,NextSeq 550,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-09T00:00:00Z,GSM3362027,Lymph node,SRP159143
SRR7768857,RNA-Seq,74,2496888982,PRJNA488556,SAMN09936783,1032511181,Memory B Cell,GEO,public,"sra,fastq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",HIV4,SRX4624437,GSM3362028,HIV-infected,NextSeq 550,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-09T00:00:00Z,GSM3362028,Lymph node,SRP159143
SRR7768858,RNA-Seq,74,2242909956,PRJNA488556,SAMN09936782,949514950,IgG switched Memory B Cell,GEO,public,"fastq,sra","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",HIV4,SRX4624438,GSM3362029,HIV-infected,NextSeq 550,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-09T00:00:00Z,GSM3362029,Lymph node,SRP159143
SRR7768859,RNA-Seq,74,2211221454,PRJNA488556,SAMN09936781,918817384,HIV-specific IgG switched Memory B Cell,GEO,public,"sra,fastq","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",HIV4,SRX4624439,GSM3362030,HIV-infected,NextSeq 550,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-09T00:00:00Z,GSM3362030,Lymph node,SRP159143
